Symbol,FPKM_6e,FPKM_ac2,FPKM_sc,FPKM_wt
TMTC2,2.10927,3.10819,3.36778,2.3065
MGAT4C,0,0.00194255,0.268638,0
TMTC3,7.29338,11.6685,8.69489,8.87069
GALNT4,0.693797,1.24462,0.717162,0.798967
GLT8D2,2.01359,3.4917,3.37809,2.40511
CHST11,4.91062,9.41337,9.38344,9.87706
B3GNT4,5.35978,5.41443,5.12208,4.93838
GLT1D1,0,0,0,0.0190416
GALNT9,0.0731084,0.0632433,0.0201838,0.138588
B3GLCT,3.09348,5.76193,4.78391,3.71453
ALG5,10.0773,21.512,16.0657,16.5156
ALG11,2.07462,3.55248,2.77979,3.15177
UGGT2,7.66018,5.97992,5.34333,4.8299
HS6ST3,1.06593,1.28094,1.59642,1.21895
TMTC4,11.6154,8.47192,7.78192,6.86779
KDELC1,5.37829,8.44091,4.98497,7.59648
MGAT2,12.8179,14.1482,14.8759,12.9344
PYGL,58.5095,19.8316,33.424,29.8036
FUT8,11.9573,10.1799,10.8024,11.4659
GALNT16,8.71483,3.78946,4.74191,5.0708
POMT2,15.7609,13.0668,11.4942,21.932
CHST14,6.73091,10.3579,7.93592,10.7769
PIGB,2.60313,3.82124,3.33764,3.51711
GCNT3,0,0,0,0
ST8SIA2,2.6478,1.4438,0.259042,0.508622
CHSY1,11.2803,10.0526,8.96347,11.9612
HS3ST6,0,0.0449533,0.131568,0.0894497
ALG1,8.61155,15.2193,18.4204,14.6048
XYLT1,0.47531,1.39935,0.110958,0.0347698
HS3ST2,0.138997,0,0.0227721,0.204653
HS3ST4,0,0,0,0
B3GNT9,0.405191,0.71166,0.606349,0.991168
HAS3,3.89644,3.28697,4.56691,3.6568
ST3GAL2,5.56809,8.94532,5.00148,11.5451
CHST4,0.144824,0.0425804,0.184061,0.218146
CHST6,0.783648,0.386184,0,0.350769
CHST5,0.152356,1.84914E-19,0.0154584,0.0211521
HS3ST3A1,4.443,5.85669,6.64126,5.86777
HS3ST3B1,2.17123,3.52653,3.48573,2.35624
PIGL,14.6756,10.4219,10.9169,11.7598
PIGW,10.7258,18.704,14.0161,19.8821
B4GALNT2,0.00566006,0.0596531,0,0.0295092
XYLT2,9.79989,9.81289,7.22146,10.8816
ST6GALNAC2,6.45474,5.08985,5.18705,4.05162
ST6GALNAC1,0.605657,1.02746,0,0.0436909
MGAT5B,0.990989,1.5171,1.43891,2.71479
RFNG,26.1839,26.2724,24.4812,26.3194
B3GNTL1,7.47521,5.34217,4.62374,3.6747
CHST9,0.599441,0.523501,0.760613,0.104894
B4GALT6,12.6267,6.12919,9.68165,9.41234
GALNT1,36.4545,20.5829,20.077,29.2322
ST8SIA5,0.119905,1.18107,0.792355,1.29545
ST8SIA3,0.00822958,0,0.00404679,0
PIGN,11.3871,19.0714,28.0823,22.3913
FUT6,0.297136,0,0,0
FUT3,0,0.0529643,0,0.0263445
FUT5,2.04067E-38,0,0,0
COLGALT1,32.5176,34.9206,29.1191,27.5741
B3GNT3,0.0236251,0,0.0409559,0.695145
DPY19L3,6.3762,12.6724,21.2338,17.3405
CHST8,3.36337,3.87748,5.59214,5.25907
B3GNT8,0.514665,0.375068,0.169761,0.72382
FKRP,9.69308,14.0309,8.13066,13.4261
FUT2,0.103085,0.166302,0.101117,0.0807303
FUT1,0.378576,0.39445,0.473207,0.570766
GYS1,15.081,24.1378,24.8443,14.0334
HAS1,0,0,0,0
GALNT14,0.825023,0.661584,7.10605,1.75311
B3GNT2,3.69777,4.24113,3.66604,4.23928
ST3GAL5,4.04688,3.51192,3.55444,4.13763
MGAT4A,6.24733,4.8576,5.23567,4.12004
CHST10,6.9049,7.24471,10.274,8.1284
ST6GAL2,0,0.00726639,0.0133075,0.0988136
UGGT1,11.236,14.92,12.6175,16.4735
HS6ST1,7.26585,7.91374,8.97425,8.58175
MGAT5,12.6295,10.1583,11.6356,8.77949
GTDC1,2.34224,3.32309,3.26897,4.61125
GALNT13,6.05374,1.96721,10.298,0.860644
GALNT5,0.112232,0.153941,0.275935,0.128956
GALNT3,2.45063,4.59804,9.40999,8.94684
B3GALT1,0.0684646,0.16802,0.625212,0.275299
CHPF,14.7821,11.8808,11.9256,16.415
B3GNT7,0.0273052,0.110336,0.0805565,0.452776
UGT1A8,0,0,0,0
UGT1A9,0,0,0,0
UGT1A7,0,0,0,0
UGT1A6,0,0,0,0
UGT1A5,0,0,0,0
UGT1A4,0,0,0,0
UGT1A3,0,0,0,0
UGT1A1,0,0,0,0
GAL3ST2,0.122723,0.0412386,0.120664,0.0410285
PYGB,14.4951,20.778,19.3446,18.8797
POFUT1,15.7965,14.6485,18.6619,14.149
B4GALT5,11.6649,11.5836,8.89,14.2686
DPM1,33.4897,39.8553,40.37,39.5752
GCNT7,0,0,0,0
B3GALT5,0.0959568,0.201485,0.0388363,0.381395
POFUT2,8.0077,13.3569,9.43134,8.13194
GAL3ST1,1.81796,0.469643,0.373533,0.387256
